source_file,unit_type,unit_index,pymupdf_table_count,table_like_score,numeric_count,percent_count,currency_count,snippet
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,47,1,22,14,11,0,Dream Deck A10人群画像分析-基础属性-家乡地V2 家乡地V2 占比 北京市-北京市 河北省-廊坊市 河北省-邯郸市 河北省-保定市 天津市-天津市 河北省-张家口市 河北省-承德市 河北省-沧州市 河北省-衡水市 河北省-邢台市 51.11% 5.66% 2.57% 2.44% 1.66% 1.35% 1.28% 0.98% 0.96% 0.95% 20221023-20231022期间到访“城市绿心公园”的流动人口中，家
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,48,1,22,14,11,0,Dream Deck A10人群画像分析-基础属性-常驻城市V2 常驻城市V2 占比 北京市-北京市 河北省-廊坊市 天津市-天津市 河北省-保定市 河北省-邯郸市 河北省-唐山市 河北省-石家庄市 河北省-沧州市 河北省-张家口市 上海市-上海市 77.20% 5.87% 1.85% 1.03% 0.55% 0.47% 0.47% 0.41% 0.40% 0.39% 20221023-20231022期间到访“城市绿心公园”的流动人口
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,49,1,24,80,20,0,Dream Deck A10人群画像分析-财富属性-居住社区房价 0 5 10 15 20 25 30 35 40 45 40000-59999 20000-39999 10000-19999 60000-79999 80000-99999 >100000 5000-7999 8000-9999 2000-4999 居住社区房价 占比 北京市大盘 TGI 40000-59999 39.91% 32.49% 122 20000-39999
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,50,1,24,28,12,0,Dream Deck A10人群画像分析-财富属性-全国消费水平v2 0 10 20 30 40 50 60 70 高 次高 中 低 次低 全国消费水平v2 占比 北京市大盘 TGI 高 64.62% 63.96% 101 次高 22.95% 29.53% 77 中 8.06% 2.42% 332 低 2.61% 3.63% 71 次低 1.76% 0.45% 391 20221023-20231022期间到访“城市绿心公园”的流动人口
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,51,1,22,39,22,0,Dream Deck A10人群画像分析-财富属性-到访4S店品牌 到访4S店品牌 人群覆盖度 北京市大盘 TGI 奔驰 10.26% 183 宝马 10.53% 84 丰田 7.97% 85 沃尔沃 3.41% 197 奥迪 6.51% 93 比亚迪 1.57% 298 上海大众 6.38% 73 一汽大众 6.24% 71 长安 2.57% 105 东风 2.42% 109 18.82% 8.95% 6.80% 6.73% 6.09
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,52,1,22,22,8,0,Dream Deck A10人群画像分析-财富属性-通勤方式 0 10 20 30 40 50 60 70 公交 自驾 地铁 通勤方式 占比 北京市大盘 TGI 公交 60.53% 55.59% 108 自驾 20.22% 14.74% 137 地铁 19.24% 29.67% 64 20221023-20231022期间到访“城市绿心公园”的流动人口中，通勤方式“公交”的占比最高， 为60.53%（北京市通勤方式“公交”占比55.59
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,53,1,24,64,16,16,Dream Deck A10人群画像分析-财富属性-餐饮消费水平 0 5 10 15 20 25 30 35 40 45 101-150元51-100元 50元以内151-200元201-300元301-500元500元以上 餐饮消费水平 占比 北京市大盘 TGI 101-150元 40.05% 33.23% 120 51-100元 29.44% 31.41% 93 50元以内 17.07% 21.04% 81 151-200元 7.2
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,54,1,20,11,6,0,Dream Deck A10人群画像分析-财富属性-是否有车v2 是 否 是否有车v2 占比 北京市大盘 TGI 是 76.78% 52.98% 144 否 23.22% 47.02% 49 20221023-20231022期间到访“城市绿心公园”的流动人口中，是否有车v2“是”的占比最高， 为76.78%（北京市是否有车v2“是”占比52.98%）。
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,55,1,24,56,14,0,Dream Deck A10人群画像分析-财富属性-餐饮消费频次 0 10 20 30 40 50 60 1-2次 11次及以上 3-4次 5-6次 7-8次 9-10次 餐饮消费频次 占比 北京市大盘 TGI 1-2次 53.41% 67.94% 78 11次及以上 17.68% 7.15% 247 3-4次 14.67% 13.90% 105 5-6次 7.19% 5.90% 121 7-8次 4.19% 3.17% 132 9-1
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,56,1,24,30,12,0,Dream Deck A10人群画像分析-财富属性-城市消费水平v2 0 5 10 15 20 25 30 35 40 45 中 次高 高 次低 低 城市消费水平v2 占比 北京市大盘 TGI 中 41.41% 40.69% 101 次高 22.41% 20.11% 111 高 19.11% 10.00% 191 次低 11.94% 19.20% 62 低 5.12% 10.00% 51 20221023-20231022期间到访“城市
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,57,1,24,90,22,0,Dream Deck A10人群画像分析-财富属性-居住社区房价细分 0 5 10 15 20 25 30 40000-49999 50000-59999 30000-39999 10000-19999 20000-29999 60000-69999 >=100000 70000-79999 5000-7999 90000-99999 8000-9999 80000-89999 2000-4999 居住社区房价细分 占比 北京市大盘 T
